Lineups,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
I. Hartenstein - D. DiVincenzo - P. Achiuwa,21,13,8,282,113.1,119.6,-6.5,62.4,02.04,18.9,30.1,69.8,49.5,13.3,53.4,56.2,94.70,48.6
J. Randle - J. Brunson - I. Quickley,30,16,14,279,124.0,109.0,15.0,55.4,02.04,17.2,35.0,77.4,55.8,11.8,57.3,61.1,100.82,57.6
J. Randle - J. Hart - I. Quickley,29,16,13,278,122.8,102.4,20.4,56.0,1.69,17.4,35.4,74.8,56.6,14.3,58.5,62.9,102.04,61.6
J. Hart - J. Brunson - I. Quickley,30,16,14,276,122.9,107.0,15.8,55.2,1.99,17.1,35.1,79.2,57.0,12.0,56.0,60.5,100.21,58.1
J. Randle - O. Anunoby - I. Hartenstein,12,10,2,271,123.6,103.0,20.5,62.7,2.00,19.7,31.1,77.5,55.5,14.0,58.5,62.2,99.71,58.5
J. Randle - O. Anunoby - D. DiVincenzo,14,12,2,270,126.7,107.8,18.9,66.0,02.01,21.0,31.0,74.6,54.7,15.0,62.6,65.8,98.60,57.7
J. Hart - J. Brunson - Q. Grimes,39,27,12,268,111.9,106.7,5.2,55.5,02.03,16.2,35.7,73.0,53.3,11.3,51.8,54.0,98.36,51.2
I. Hartenstein - J. Hart - P. Achiuwa,23,14,9,265,115.9,113.8,2.1,62.4,2.23,19.0,32.4,71.6,51.4,12.3,53.4,56.3,93.64,53.1
J. Randle - J. Hart - Q. Grimes,42,26,16,256,109.3,112.2,-2.8,56.7,1.81,16.2,36.6,72.2,53.0,12.7,52.3,54.3,100.21,47.9
B. Bogdanovic - J. Hart - M. McBride,27,16,11,255,103.3,111.5,-8.2,66.7,1.56,17.2,35.9,70.6,52.5,15.8,49.7,53.1,96.44,44.1
J. Brunson - R. Barrett - Q. Grimes,20,11,9,254,109.8,107.1,2.7,56.9,1.68,16.3,29.9,69.4,49.5,13.4,51.8,55.5,100.23,49.6
J. Hart - D. DiVincenzo - I. Quickley,20,11,9,254,112.0,108.0,4.0,59.8,1.66,16.9,36.8,72.6,54.0,14.4,51.7,56.0,101.33,51.6
I. Hartenstein - J. Brunson - P. Achiuwa,24,15,9,251,117.6,110.0,7.6,57.1,2.14,17.7,33.0,71.9,52.1,11.9,52.9,56.1,93.38,54.8
J. Brunson - D. DiVincenzo - J. Sims,23,15,8,251,117.5,112.6,4.9,56.8,1.95,18.1,33.5,68.5,51.0,13.3,55.9,58.2,95.28,49.6
I. Hartenstein - J. Brunson - M. McBride,24,13,11,248,133.5,105.7,27.8,65.6,3.14,22.2,31.7,70.0,51.5,10.3,63.7,65.5,95.07,61.8
J. Brunson - D. DiVincenzo - M. Robinson,29,18,11,248,122.6,123.9,-1.3,59.8,02.02,17.4,40.8,78.1,56.5,12.8,54.0,57.5,97.35,48.5
J. Randle - R. Barrett - Q. Grimes,18,10,8,245,110.1,105.6,4.4,56.7,1.67,16.5,28.7,69.8,49.0,13.6,52.1,55.5,99.97,49.7
